Name,Platform,DOIs,Citations,License,Categories
STAR,C/C++,"10.1093/bioinformatics/bts635, 10.1101/2021.05.05.442755",31877,MIT,"Alignment, Quantification, UMIs"
Seurat,R,"10.1016/j.cell.2019.05.031, 10.1016/j.cell.2021.04.048, 10.1038/nbt.3192, 10.1038/nbt.4096, 10.1038/s41587-023-01767-y, 10.1101/164889, 10.1101/2020.10.12.335331, 10.1101/2022.02.24.481684, 10.1101/460147, 10.1101/576827, 10.1186/s13059-019-1874-1",29135,GPL-3.0,"Clustering, Differential Expression, Dimensionality Reduction, Gene Filtering, Imputation, Integration, Marker Genes, Normalisation, Variable Genes, Visualisation"
Monocle,R,"10.1038/nbt.2859, 10.1038/nmeth.4150, 10.1038/nmeth.4402, 10.1101/110668",7870,Artistic-2.0,"Clustering, Differential Expression, Dimensionality Reduction, Expression Patterns, Marker Genes, Ordering, Visualisation"
salmon,C++,"10.1038/nmeth.4197, 10.1093/bioinformatics/btaa450, 10.1101/021592, 10.1101/2020.04.10.035899, 10.1101/335000, 10.1186/s13059-019-1670-y",6989,GPL-3.0,"Quantification, UMIs"
kallisto,C/C++,"10.1038/nbt.3519, 10.1038/s41587-021-00870-2, 10.1038/s41592-018-0303-9, 10.1101/2022.12.02.518832, 10.1101/2023.11.21.568164, 10.1101/258566, 10.1101/673285, arxiv/1505.02710",6986,BSD-2-Clause,"Quantification, UMIs"
Scanpy,Python,"10.1101/174029, 10.1101/208819, 10.1186/s13059-017-1382-0, 10.1186/s13059-019-1663-x",4455,BSD-3-Clause,"Clustering, Differential Expression, Dimensionality Reduction, Gene Filtering, Normalisation, Ordering, Quality Control, Simulation, Variable Genes, Visualisation"
CellRanger,Python/R,"10.1038/ncomms14049, 10.1101/065912",4070,'-,"Alignment, Clustering, Differential Expression, Dimensionality Reduction, Interactive, Marker Genes, Quality Control, Quantification, UMIs, Visualisation"
inferCNV,R,10.1126/science.1254257,3320,'-,"Variants, Visualisation"
SCENIC,R/Python,"10.1038/nmeth.4463, 10.1038/s41596-020-0336-2, 10.1101/144501",3300,GPL-3.0,"Clustering, Gene Networks, Visualisation"
Harmony,R/C++,"10.1038/s41592-019-0619-0, 10.1101/461954",3213,GPL-3.0,"Dimensionality Reduction, Integration"
CellPhoneDB,Python,"10.1038/s41586-018-0698-6, 10.1038/s41596-020-0292-x, 10.1101/429589, 10.1101/680926, arxiv/2311.04567",3085,MIT,"Gene Networks, Visualisation"
AUCell,R,"10.1038/nmeth.4463, 10.1101/144501",2854,Custom,"Gene Networks, Interactive, Visualisation"
BackSPIN,Python,10.1126/science.aaa1934,2498,BSD-2-Clause,"Clustering, Gene Filtering"
velocyto,Python/R,"10.1038/s41586-018-0414-6, 10.1101/206052",2482,'-,"Alternative Splicing, Ordering, Visualisation"
scran,R,"10.1038/nbt.4091, 10.1101/165118, 10.1186/s13059-016-0947-7",2316,GPL-3.0,"Cell Cycle, Integration, Interactive, Normalisation, Variable Genes, Visualisation"
SingleR,R,"10.1038/s41590-018-0276-y, 10.1101/284604",2109,GPL-3.0,"Classification, Visualisation"
scvi-tools,Python,"10.1016/j.crmeth.2022.100182, 10.1038/s41587-021-01206-w, 10.1038/s41592-018-0229-2, 10.1038/s41592-020-01050-x, 10.1073/pnas.2209124120, 10.1093/bioinformatics/btaa169, 10.1101/2020.05.08.083337, 10.1101/2021.04.28.441833, 10.1101/2021.08.20.457057, 10.1101/2022.05.27.493625, 10.1101/292037, 10.1101/532895, 10.1101/737601, 10.1101/794289, 10.1101/794875, 10.15252/msb.20209620, arxiv/1905.02269",2079,BSD-3-Clause,"Classification, Differential Expression, Dimensionality Reduction, Imputation, Integration, Normalisation, Quality Control"
CellChat,R/C++,"10.1038/s41467-021-21246-9, 10.1101/2020.07.21.214387, 10.1101/2023.11.05.565674",1928,GPL-3.0,"Gene Networks, Visualisation"
MAST,R,"10.1101/020842, 10.1186/s13059-015-0844-5",1905,GPL-2.0-or-later,"Differential Expression, Gene Networks, Gene Sets, Normalisation, Quality Control"
Rsubread,R,"10.1093/nar/gkz114, 10.1101/377762",1603,GPL-3.0,"Alignment, Quantification"
